image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
2,1,0,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,1.7548487186431885,initial_label_local_verify_time,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,2,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,3,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,4,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,5.343684196472168,initial_label_local_verify_time,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,5,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.9657435417175293,initial_label_local_verify_time,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,6,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.419250011444092,initial_label_local_verify_time,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,7,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,9,TIME_LIMIT,timeout,True,False,,initial_label_local_missing,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,8,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,6.64336085319519,initial_label_local_verify_time,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,9,0,0,10,0.75,10.0,True,False,0.5,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.7397382259368896,initial_label_local_verify_time,74.275449,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/000_all_labels_eran_run.log
2,1,2,0,0,10,0.75,10.0,True,False,0.5,single_label_rerun,1,2,1,9,TIME_LIMIT,timeout,True,False,25.501219,rerun_attempt_runtime,25.501219,8094.687671,Verified,7,2,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260424/20260424_134749_run_03_ub_0p75_timeouts_10_10_720000/001_adv_label_2_eran_run.log
