parameter,level,rows_with_level,pearson,abs_pearson,median_ratio_for_level,median_ratio_without_level,mean_ratio_for_level,mean_ratio_without_level
variable_types_integer_presolved,473,6,-0.1408866985348934,0.1408866985348934,0.5469211799261281,0.9419559292947085,0.7289498601423166,1.0110783559477956
linear_constraint_matrix_constrs,128713,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
linear_constraint_matrix_constrs_presolved,54609,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
linear_constraint_matrix_nzs,724767,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
linear_constraint_matrix_vars,8712,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
linear_constraint_matrix_vars_presolved,1888,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
optimizer_presolve_removed_columns,6824,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
optimizer_presolve_removed_rows,74104,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
optimizer_presolved_columns,1888,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
optimizer_presolved_rows,54609,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
optimizer_presolved_variable_types_binary,571,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
optimizer_presolved_variable_types_integer,571,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
variable_types_binary,600,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
variable_types_binary_presolved,571,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
variable_types_integer,600,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
variable_types_integer_presolved,571,2,-0.13931553148784973,0.13931553148784973,0.5313988081258403,0.9382854654873012,0.5313988081258403,1.000601043387953
general_constraints,580,22,-0.13895002847826113,0.13895002847826113,0.7506265820087565,0.9419559292947085,0.8716300336305065,1.0385801982707448
matrix_coefficient_range,"[ 1.01469e-13, 35.1672 ]",22,-0.13895002847826113,0.13895002847826113,0.7506265820087565,0.9419559292947085,0.8716300336305065,1.0385801982707448
rhs_coefficient_range,"[ 1.67848e-38, 22.292 ]",22,-0.13895002847826113,0.13895002847826113,0.7506265820087565,0.9419559292947085,0.8716300336305065,1.0385801982707448
variable_bound_range,"[ 3.90274e-09, 35.1672 ]",22,-0.13895002847826113,0.13895002847826113,0.7506265820087565,0.9419559292947085,0.8716300336305065,1.0385801982707448
variable_bound_range_presolved,"[ 6.33653e-07, 35.1672 ]",22,-0.13895002847826113,0.13895002847826113,0.7506265820087565,0.9419559292947085,0.8716300336305065,1.0385801982707448
linear_constraint_matrix_constrs_presolved,54735,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
linear_constraint_matrix_nzs,725167,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
linear_constraint_matrix_vars_presolved,2058,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
optimizer_presolve_removed_rows,74028,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
optimizer_presolved_columns,2058,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
optimizer_presolved_rows,54735,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
variable_types_binary,670,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
variable_types_integer,670,2,0.138322690575431,0.138322690575431,1.4404855718251435,0.869629909384967,1.4404855718251435,0.9746271358536871
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.2667 ]",4,-0.13800472651805062,0.13800472651805062,0.5257625552187476,0.9382854654873012,0.6726402251482496,1.0060927904825794
