parameter,level,count,median,mean,min,max
extra_simplex_iterations_dual_to_original,19,1,0.5409050844325098,0.5409050844325098,0.5409050844325098,0.5409050844325098
linear_constraint_matrix_constrs_presolved,31572,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
linear_constraint_matrix_nzs,553375,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
linear_constraint_matrix_vars_presolved,1691,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
optimizer_presolved_columns,1691,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
optimizer_presolved_rows,31572,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
optimizer_presolved_variable_types_continuous,1218,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
variable_types_binary,505,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
variable_types_continuous,8173,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
variable_types_continuous_presolved,1218,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
variable_types_integer,505,2,0.541981586142956,0.541981586142956,0.5409050844325098,0.5430580878534023
linear_constraint_matrix_vars,8678,3,0.5430580878534023,0.8250060309225239,0.5409050844325098,1.3910549204816598
variable_bound_range_presolved,"[ 0.000110327, 35.346 ]",8,0.5461698599495108,0.5295569387372986,0.4016398907108913,0.6116223230720215
optimizer_presolve_removed_rows,45038,4,0.5461698599495108,0.5612167818508882,0.5409050844325098,0.6116223230720215
linear_constraint_matrix_constrs,76610,6,0.5469211799261281,0.7289498601423166,0.47855247522674044,1.3910549204816598
optimizer_presolved_variable_types_binary,473,6,0.5469211799261281,0.7289498601423166,0.47855247522674044,1.3910549204816598
optimizer_presolved_variable_types_integer,473,6,0.5469211799261281,0.7289498601423166,0.47855247522674044,1.3910549204816598
variable_types_binary_presolved,473,6,0.5469211799261281,0.7289498601423166,0.47855247522674044,1.3910549204816598
